source_file,filename,question,answer
demo_ocr_output.parquet,2009_maths_2.pdf,"21. A line with positive direction cosines passes through the point P(2, -1, 2) and makes equal angles with the coordinate axes. The line meets the plane 2x + y + z = 9 at point Q . The length of the line segment PQ equals (A) 1 (B) \sqrt{2} (C) \sqrt{3} (D) 2",(A)
demo_ocr_output.parquet,2009_maths_2.pdf,"22. The normal at a point P on the ellipse x^2 + 4y^2 = 16 meets the x -axis at Q . If M is the mid point of the line segment PQ , then the locus of M intersects the latus rectums of the given ellipse at the points (A) \left(\pm \frac{3\sqrt{5}}{2}, \pm \frac{2}{7}\right) (B) \left(\pm \frac{3\sqrt{5}}{2}, \pm \frac{\sqrt{19}}{4}\right) (C) \left(\pm 2\sqrt{3}, \pm \frac{1}{7}\right) (D) \left(\pm 2\sqrt{3}, \pm \frac{4\sqrt{3}}{7}\right)",(B)
demo_ocr_output.parquet,2009_maths_2.pdf,"23. The locus of the orthocentre of the triangle formed by the lines (1+p)x - py + p(1+p) = 0, (1+q)x - qy + q(1+q) = 0, and y = 0 , where p \neq q , is (A) a hyperbola (B) a parabola (C) an ellipse (D) a straight line",(C)
demo_ocr_output.parquet,2009_maths_2.pdf,"24. If I_n = \int_{-\pi}^{\pi} \frac{\sin nx}{(1+\pi^x)\sin x} dx, \quad n = 0, 1, 2, \dots, then (A) I_n = I_{n+2} (B) \sum_{m=1}^{10} \sum_{n=1}^{10} I_{2m+n} = 10\pi (C) \sum_{m=1}^{10} I_{2m} = 0 (D) I_n = I_{n+1}",(A)
demo_ocr_output.parquet,2009_maths_2.pdf,"25. An ellipse intersects the hyperbola 2x^2 - 2y^2 = 1 orthogonally. The eccentricity of the ellipse is reciprocal of that of the hyperbola. If the axes of the ellipse are along the coordinate axes, then (A) Equation of ellipse is x^2 + 2y^2 = 2 (B) The foci of ellipse are (\pm 1, 0) (C) Equation of ellipse is x^2 + 2y^2 = 4 (D) The foci of ellipse are (\pm \sqrt{2}, 0)",(B)
demo_ocr_output.parquet,2009_maths_2.pdf,"26. For the function f(x) = x \cos \frac{1}{x}, \quad x \geq 1, (A) for at least one x in the interval [1, \infty) , f(x+2) - f(x) < 2 (B) \lim_{x \rightarrow \infty} f'(x) = 1 (C) for all x in the interval [1, \infty) , f(x+2) - f(x) > 2 (D) f'(x) is strictly decreasing in the interval [1, \infty)",(C)
demo_ocr_output.parquet,2009_maths_2.pdf,"27. The tangent PT and the normal PN to the parabola y^2 = 4ax at a point P on it meet its axis at points T and N , respectively. The locus of the centroid of the triangle PTN is a parabola whose (A) vertex is \left(\frac{2a}{3}, 0\right) (B) directrix is x = 0 (C) latus rectum is \frac{2a}{3} (D) focus is (a, 0)",(D)
demo_ocr_output.parquet,2009_maths_2.pdf,"28. For 0 < \theta < \frac{\pi}{2} , the solution(s) of \sum_{m=1}^6 \csc \left( \theta + \frac{(m-1)\pi}{4} \right) \csc \left( \theta + \frac{m\pi}{4} \right) = 4\sqrt{2} is(are) (A) \frac{\pi}{4} (B) \frac{\pi}{6} (C) \frac{\pi}{12} (D) \frac{5\pi}{12}",
demo_ocr_output.parquet,2009_maths_2.pdf,"29. Match the statements/expressions given in Column I with the values given in Column II .
Column I
(A) Root(s) of the equation 2 \sin^2 \theta + \sin^2 2\theta = 2
(B) Points of discontinuity of the function f(x) = \left[ \frac{6x}{\pi} \right] \cos \left[ \frac{3x}{\pi} \right] , where \lfloor y \rfloor denotes the largest integer less than or equal to y
(C) Volume of the parallelepiped with its edges represented by the vectors \hat{i} + \hat{j} , \hat{i} + 2\hat{j} and \hat{i} + \hat{j} + \pi \hat{k}
(D) Angle between vectors \vec{a} and \vec{b} where \vec{a} , \vec{b} and \vec{c} are unit vectors satisfying \vec{a} + \vec{b} + \sqrt{3} \vec{c} = \vec{0}
Column II
(p) \frac{\pi}{6}
(q) \frac{\pi}{4}
(r) \frac{\pi}{3}
(s) \frac{\pi}{2}
(t) \pi",
demo_ocr_output.parquet,2009_maths_2.pdf,"30. Match the statements/expressions given in Column I with the values given in Column II .
Column I
(A) The number of solutions of the equation xe^{\sin x} - \cos x = 0 in the interval (0, \frac{\pi}{2})
(B) Value(s) of k for which the planes kx + 4y + z = 0 , 4x + ky + 2z = 0 and 2x + 2y + z = 0 intersect in a straight line
(C) Value(s) of k for which |x-1| + |x-2| + |x+1| + |x+2| = 4k has integer solution(s)
(D) If y' = y + 1 \text{ and } y(0) = 1, then value(s) of y(\ln 2)
Column II
(p) 1
(q) 2
(r) 3
(s) 4
(t) 5",A (p) (q) (r) (s) (t) B (p) (q) (s) C (p) (q) (s) D (p) (q) (s) (t)
demo_ocr_output.parquet,2009_maths_2.pdf,31. The maximum value of the function f(x) = 2x^3 - 15x^2 + 36x - 48 on the set A = \{x \mid x^2 + 20 \leq 9x\} is,
demo_ocr_output.parquet,2009_maths_2.pdf,"32. Let (x, y, z) be points with integer coordinates satisfying the system of homogeneous equations: \begin{cases} 3x - y - z = 0 \\ -3x + z = 0 \\ -3x + 2y + z = 0. \end{cases} Then the number of such points for which x^2 + y^2 + z^2 \leq 100 is",
